full_name,abbreviation,certainty,full_name_pointing_to_abbreviation_count,abbreviation_pointing_to_full_name_count,full_names_pointing_to_abbreviation_sum,full_name_pointing_to_abbreviation_share,abbreviations_pointing_to_full_name_sum,abbreviation_pointing_to_full_name_share,frequency_score,frequency_score_normalized,wasserstein_distance,n_departments,n_not_overlapping_departments,penalization_score,department_score,wasserstein_distance_normalized,penalization_score_normalized,department_score_normalized,score,normalized_score
Kai-Uwe Brandt,kub,0.8,35,35,35,1.0,48,0.7291666666666666,0.7291666666666666,0.7291587704209063,0.9436422262722557,3,1,0.2833333333333333,0.532773327688653,0.9221244092194352,0.3893510815307821,0.71216455394761,-2.2413233243685164,0.25838296803128497
Kai-Uwe Brandt,ka,0.407,13,13,452,0.028761061946902654,48,0.2708333333333333,0.007789454277286135,0.007760526012738402,,6,6,,0.0,,,0.3839490270782652,-0.7987095530910036,0.8319924182311557
Nadja Topfstedt,jap,0.3,21,21,21,1.0,21,1.0,1.0,1.0,,3,3,,0.0,,,0.3839490270782652,-1.683949027078265,0.4800051170705772
Andreas Tappert,art,0.672,137,137,137,1.0,202,0.6782178217821783,0.6782178217821783,0.6782084401040471,,11,11,,0.0,,,0.3839490270782652,-1.7341574671823123,0.4600413289126618
Andreas Tappert,ast,0.786,43,43,43,1.0,202,0.21287128712871287,0.21287128712871287,0.21284833810066917,1.0,11,10,0.9090909090909091,0.04840417486008164,1.0,0.9515958251399184,0.4137684660942923,-1.4126168041949614,0.5878917394558426
Andreas Tappert,at,0.8,22,22,22,1.0,202,0.10891089108910891,0.10891089108910891,0.10888491105736131,0.9067732812468209,8,6,0.75,0.06252638059105675,0.8711786268472964,0.8086522462562397,0.4224684646746604,-1.3313533757320217,0.6202035553070836
Annett Riedel,ar,0.9,56,56,66,0.8484848484848485,56,1.0,0.8484848484848485,0.8484804310047028,0.7694475760992108,8,6,0.75,-0.1272312998558397,0.6814209464004,0.8086522462562397,0.3055680610159782,-2.054048492020681,0.3328468444742405
Angelika Raulien,ar,0.8,1,1,66,0.015151515151515152,159,0.006289308176100629,9.529254812273681e-05,6.613995745094238e-05,0.9472519875561699,6,4,0.6666666666666666,0.19333536593207878,0.9271124042016295,0.7337770382695508,0.503053467360902,-1.3031196073183529,0.6314298146838351
Angelika Raulien,agri,0.8,127,127,810,0.15679012345679014,159,0.7987421383647799,0.12523487848435438,0.1252093743844822,0.9249589392964749,20,17,0.85,-0.0021947914820007464,0.8963077043582655,0.8985024958402662,0.38259692365041836,-1.3078062980349006,0.6295663012898135
Angelika Raulien,ala,0.555,31,31,239,0.1297071129707113,159,0.1949685534591195,0.02528880818925818,0.025260390124830334,0.9388507287652873,11,8,0.7272727272727273,0.12727174735038005,0.9155034823375228,0.7882317349871427,0.46235491085891606,-1.0426153009837464,0.7350110606877228
Andrea Richter,ar,0.8,9,9,66,0.13636363636363635,10,0.9,0.12272727272727273,0.1227016955172295,0.9647680563711096,5,3,0.6,0.2774393664491951,0.9513162383293948,0.6738768718801997,0.5548658187060815,-1.4775675142233111,0.5620661568839666
Andrea Richter,ahr,0.6,1,1,492,0.0020325203252032522,10,0.1,0.00020325203252032523,0.00017410258944713128,0.8451064105052074,17,15,0.8823529411764706,-0.1416048078974832,0.7859668863376151,0.9275716942350983,0.2967132474026254,-0.8968873499920725,0.792955142126141
Antje Henselin-Rudolph,ahr,0.8,491,491,492,0.9979674796747967,491,1.0,0.9979674796747967,0.9979674204159167,0.4211464942039829,18,12,0.6666666666666666,-0.5336411165958791,0.20013592167367167,0.7337770382695508,0.05519889800833306,-1.85316631842425,0.41272124706611596
Heike Liesaus,lis,0.4,129,129,265,0.4867924528301887,129,1.0,0.4867924528301887,0.4867774900747973,0.8116774868151444,9,7,0.7777777777777778,-0.093836097893782,0.7397745510246873,0.8336106489184693,0.3261412076756217,-1.212918697750419,0.6672953354316179
Juliane Streich,lis,0.415,12,12,265,0.045283018867924525,12,1.0,0.045283018867924525,0.045255183742086105,1.0,9,8,0.8888888888888888,0.06655574043261236,1.0,0.9334442595673876,0.4249507557253025,-0.8852059394673887,0.7975998832218045
Janina Fleischer,lis,0.3,2,2,265,0.007547169811320755,36,0.05555555555555555,0.0004192872117400419,0.0003901440672522067,1.0,10,9,0.9,0.056572379367720416,1.0,0.9434276206322796,0.41880049642824685,-0.7191906404954991,0.8636105828726912
Janina Fleischer,jaf,0.6,34,34,34,1.0,36,0.9444444444444444,0.9444444444444444,0.9444428247017244,0.8153267848169493,2,0,-0.1,0.6998920533456217,0.744817178137635,0.04492512479201333,0.815118207482026,-2.35956103218375,0.2113695068241811
